"OMSTenantId","OrganizationName","Country","StorageTB","LicensesEnabled","LicensesAcquired","LicenseToEnabledRatio","SignalCount","ImpersonationRiskScore","RiskTier","IsBrandNamePattern","IsInstitutionNamePattern","IsFakeNameHint","PooledProvisioningPlausible","TriageLane"
"724dc671-b1a8-4b81-831d-5e9de79cf019","STOCKHOLM SCHOOL OF ECONOMICS EXECUTIVE EDUCATION","Sweden","8.384","0","0","?","3","45","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"7dfa1e15-9528-404c-975e-38909fe4ebfb","NEW DELHI PRIVATE SCHOOL LLC","United Arab Emirates","7.389","0","10000","?","3","45","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"3e9dc91f-0c0d-4a5a-9f91-2e61c1966078","MARIA-CURIE-SK??ODOWSKA UNIVERSITY","Poland","7.168","1","500000","500000","3","45","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"434719f9-c4a1-45d8-8618-c7150a3338ae","HORIZON MULTI ACADEMY TRUST","United Kingdom","4.161","0","0","?","3","45","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"78972b25-053e-4eda-aa9a-ad9a06aa1989","CLOUD","Indonesia","2.744","25","500000","20000","3","45","MEDIUM","False","False","True","False","Investigate-Next-Wave"
"9691fccb-0ea9-42fe-b0ba-77305d5a0d87","TRINITY CENTRAL SCHOOL","India","2.72","0","4100","?","3","45","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"573a9c9a-e28d-403a-a11d-5de077f1ba13","AANIIIH NAKODA COLLEGE","United States","2.046","18","2003025","111279.17","3","45","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"c6982b6b-8af9-412e-8744-724217f22dd8","HIGHLANDS SCHOOL QUITO","Ecuador","1.713","0","0","?","3","45","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"0957f776-7edd-4f67-8b73-453019c64f71","WESTLAKE CHRISTIAN SCHOOL","United States","1.648","0","0","?","3","45","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"ab6979cf-b864-4de4-a7e1-10039848685a","MICROSOFT NEPAL","Nepal","1.555","35","104000","2971.43","1","45","MEDIUM","True","False","False","True","Investigate-Next-Wave"
"08855eee-ca44-4e3a-ac57-d1cc51e97530","ROXBURGH PARK PRIMARY SCHOOL","Australia","1.429","0","0","?","3","45","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"b109c3eb-4fdf-4782-95e9-58c5cbb2741b","BRI INSTITUTE","Indonesia","1.422","11","3000000","272727.27","3","45","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"49dc4c43-031a-4433-ac90-507eb732232b","ST MARY'S JNP SCHOOL","India","1.263","0","1000","?","3","45","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"6f0010bf-60e0-4288-bea1-1dbb0f477e5f","FONDAZIONE THE MICROSOFT RESEARCH - UNIVERSITY OF TRENTO COSBI","Italy","1.154","25","32","1.28","1","45","MEDIUM","True","True","False","False","Investigate-Next-Wave"
"3a7b21da-7fd3-4f5f-9d8d-1f2b075a7e37","ACADEMY FOR SILENT MENTOR","Malaysia","1.059","0","1","?","3","45","MEDIUM","False","True","False","False","Investigate-Next-Wave"
"04f1268f-a2d4-43d0-9acf-2a236f22ebd1","MANCHESTER HEALTH ACADEMY","United Kingdom","1.058","0","0","?","3","45","MEDIUM","False","True","False","False","Investigate-Next-Wave"
